query_id,answer
70DfDUpwjxB4lzFd,14d535285758af89 deb58d7ad8c27d06 603623b4bd9e8f6c 6fc4db453f873556 bee602308dd4d4b3 fa4ba2c2cf71b0b1 4494aa11cbdc2d65 6047e1566a959d3a 94c5ec723ea5418f 33f8d361a92bdcde 355392014208b7bf d01e14d2ffd4ddba 3b5ada3ffcacbbf3 acc6e16fea8628b0 95571e85156ba0fe 9515d1e1ecdac72c b92ee8f432cec2d1 638349a35daca252 255fbeaf526a1cc1 bbfd9a8c71d3bd2b 6042fecdd7753112 d722bcda1a555091 f4e8903d7689e222 a1df0525799ab4b5 d7ad9f91504e4d02 2d73dacac243ce62 1308d41ffd1cc3a6 fa01652ca5f57d0f 82ddaf2c54ef884a 4332513c8fe7e1c9 e5a240b2eaca4e11 73ba3172bc67d2dd d4ebb123b83921c3 56157887d3ddab2a cf0b70d14b674f8b c04be97528001251 198c47117b3869da 6dfa83ed47d5bd10 4f96718256e225e4 0a32e88bbfb35c29 616137eeb40fbedc fe7d3dc9d1481dde 4c5de54dcb9ddd51 d15745c74b29ff6a 347f89be8087d8c7 fe18d6ee0f9c019c 500f27848ff77d33 f78d7058e1d906eb 7381aa4b4050d789 f077edb575e5d7a5
JTrdTaZJvSiLPkXj,1c6d2079e07f4497 1344796085e92421 14fbc6d1a2f9f588 cbeccbecb1fb8d86 422d3ffdd5bbf626 367af128a9ea2a48 dfa239d031b11832 431efbc80d59155f 01fbbfc288257fca cacca72b31f50e71 75be1179c1cf9418 efde386fb8c4f385 427a0a8bda5b9679 f46f68aaa4d7de38 19165fefac3dce47 35a0a88ef8547de9 7e18adf210484046 e9cebe597677e8c6 396da9dc8f95a5b4 47b2ed1012de011a 73ab3b0d708ea15e c5110c8ce7bc03db 1a1f3efb845a2473 58616767e88c583f 9227619964c97cd4 bfe712cb2e8abded 0529307cdfbe4a15 88931c4cd463d124 8ab5ecc1f8361f90 56415c6efe9263d3 e7c70d65edde0559 d73d2694b62a903f 664665688c35c1d0 52eb8ff3516475db e08d374366a8ebfb 5cc5ebbee2455db0 16ea26ff0aa0450a f50963ef7dda3d19 a1d20685ee4a2b4c 4a435cc0a254c1fd bafe6304f743b5fb 12df6e80be4aaa2e 413f6384e3c07b64 2cbd2c47b27e0466 93b751f971e00d88 76f6173834974c44 b9a50305c16ec6ca fb3d9c5c65bf762a 8bb312a29e8b3ee7 c06ad7f3dd06a477
LZCZNoVG4AFUkVRJ,d8fce513e4f000a7 dab52187b4500d9b 3f89b8062dc85f1c 168a9207e80b0be4 edecb3695ab88901 d62074dd39caefee 3b370cc603f67947 5c3ee000a94c97a4 10eb6d6da3230bbb c5d21c0e8c1cdb2d d8b9d06b50158c04 005a523a0efbc62b 65f998d38467560a 597e24ccf265b201 c1abf382ab9a79dd 0b1c884e6c242ea7 965d4e5fe7062419 35a357d7a0777087 6c311e61cde9bac2 53fc0e81b65d6289 c51784a57473b4e8 a9840be7d8930cd1 e59f50c4c70d9a74 70c217c03761b975 6fce025768d766a2 bc5cfc9ad5b36256 d69aa82a671914c3 ab1a2e6b18e6d75a 33757d777da644a0 72ef0fb278f63f15 ffa57569baf9bf6e f46a3068a1e6bd57 213b1586900fba7e b6b98c7846536884 504d4dfa810af44c da766eaa5b580693 08a5a810e06168af ed19441fd0a868c2 599e85c93318325f 3f155e092f6b52f3 e14f5fb01fd62b4b 10897a4260a1ec19 f687490eb8b38367 0c82dcb07c43fbc5 a461751752fcbf14 8cdbfc7895f5fe90 d8e11672a3a3b1db 73ba144ca45e37da 85b07e03d7351013 ee58129557cfa95b
660ac9QVtXkRxZC3,67b2cd847669eb36 3cce43c811459438 af91ec4a29b66636 4c15e7abba063ac5 a846a2a5241e1180 1e5924dc546b82c1 bd2cb4500fad728e 0ccc2d9667763ea3 e42795fcb72962a5 5b8181f009aea80e da18e5119a944f0b 451bdb7494d19e87 2babc4b2f86c9376 be70c36e4ea38458 681fe2d7682200f6 416c96657102211c ad8a61749054cd18 f8da93306c8b3afd 976b75fa962b2756 5bf59420aa660cbf afc08bbe0695d5cb 69d46fdd81d8231e 519dbe8dfdf562d6 014a4ef0086ffd16 62be8c7f2a81aa9b 4816fc8b40866f56 d8f21e0f7becfcd5 817eae70e673a88c b8f9bfae96987bda a43b6fd91d211759 f5251ca92afc5902 c6348326b4a3b3a0 346b159c27ccf883 ca5c4800cf3f9a73 0d28600703c3e946 1a4d8bce3afd1b56 2e0b9ff1fd85b3f8 8564470311930fb8 6c39923ec46e14b2 ca7c68af44fd8ee9 d42b0cb96a5e7e0b 3b1f8d3f13159336 6d33a38efdf7aa19 69762a4d2572bba7 cb79c218e9550c22 20cdc5a7ffe75a09 3b781361d56cf997 5122cfc74ec76a5a f9028eecc17d9dd0 3e76e71f9e7867a5
YgHcM9MVbxKnxD1e,1a62634394544781 53f9c8caeeb8111e 9c41fe789f98d702 b8603925d28a8c99 60e3b99111bd032b 615c73ea4c3bfd15 ba78ad593ec3412d 0da6f81229980968 13f58fe9542bdb1a 94cce9ac398a8f4a 5008e2463b0c0526 4ef5ba70fa9baaef 442b0ab445da8fa8 0c8a36e283d43f46 33539f478a2ca02a 0f2830cc25924065 9502b74b2d61c50e 3522ccc98c60efd8 f84e2e12043c211c fb0bf6077c59c5a2 d201edf373168f24 407e6f8c8891a01f 38f7cea86e2064f1 f65e19416c15b1d8 e88641d6dcf18b42 e09647d3c173314b 8bb780189a2eb76d 9c01722be4efba41 b5b1c6b5f2300b14 9dfc2ead6929b559 f6e8862b5885abb5 0a8d317b1a325bff c15a07821acfd1de 0ee32cdd3c68fefe 6f76aa14355a5f44 c539e0661217b8eb aee13260d864d401 8138a7b391e29034 4ecc192a6da5b575 2c773e88aae06b5b 1736ea24d6cd586f eb0f872be57f5c59 2811287ccd261c09 49c9037c696e8925 226293e680f6726b c872da167e910435 757e8ade65e15b16 1f1da5d8632ab8c2 b429bb253a967e2e 9c1a7044c25537f7
Fn8uGfYsaUS86ak6,efd1cbb4bff99da8 c6ddc1fc25886253 e3f278c4400772bd 1ebd6968953200ee b9982354b0f9b488 275d3c1139d393cf 44853116720cebf8 d384b46b93bf53b4 6acdbf2dba17b143 03528664f8be42dd e4d73ff84d102409 1ff9c80277e5e5bf 017bb20f4533c6f4 5fd350394c4e65a1 5d6fc47a7f0e1abe f6248730c66364a5 ee49d0f90bd0642b 12c906df661153f3 8ff32856b99b223a 01c152e3cfa3ca08 cc19dcdc0a74058b 138ebf716562699c 4be7b9267ce30093 67046e3c5492df3e 38d86757951c36dc 470c9b814c5f01db 6a254eaa5e3cbcaf 6f7096b477f898df c0c959ccb7cc3d15 a3f003d075e3dd83 5608e1f8f203f7f0 2f2946d353283dce deb8430c13b40452 1a0fd0229092f93a ae66c41ef6847433 2c01198e6a9e5dcf 8ed055fba8c69bea 13e8e9d385f8bdf2 009743fc07898f33 6f62d35257e7a261 1b57e78ed4d89c93 04b3c9d52d80b499 cec2129b96de2003 8e89c37ccf03e9ad 98d326ba81fe3f24 9d80c5569bb55f4d 076d8a8dde7aed00 9328083d57dc2ecb 4030be553978c72e b5dbb54ab08cda03
u4hftjenWqHZoMep,c9021873c1f2511b 6159d0a9012f6b13 f7ed83d74c968bd4 0cfabc56b1cd4816 144d5e7f963f9a97 bfc4346cd7fe091f 57dc728ccb851c30 d0a1eeeb46bda2ef 1a3daa8815cbd80e b0896578a785ce44 4ed8df21d84d4a06 4ecfd12428c444fa 7ad464454b711615 7ab3158075b21fb5 83b88c758270dcfe 24370b8d2003ebfc e45c6c6c7afe87d6 52b552798a34129b 7a60e1d73f70774c 118e63c31106f1bf 3fe3cfbf10720ad6 bd66d2fbc4a94e48 5dacf594473fe363 4638da6d64063c3a 93095d3a5b2aff5f 1c90b2e7c7e35d94 aedfffed94c3a134 6f2185599cc623f9 c5314e8fdfbf5b0b 9f338b23aa1b5f26 71a7af70f8c42d25 15fe3524414f4784 c13b880292455ad1 5be2876f5c6064e8 b6f7441bcad9e5d5 5ffc4c0899a8903d e70727d9d773a2f4 e1ea0056989466b1 71afe91759fa58b4 d237fac5a6cb9f5b dfb331f8319d14c0 653eb284efa97aae 579746986e6a9b12 443a7760020d2f58 392a1302a737d219 ed19aa8b2d78daa9 c0d9397007d61719 7e463077b134914b 76f30c07ddf46b71 a5f1731d1ed52aeb
2Ysms04CH0JxFR7M,d7383729fe99b54f 2ec74c681dda0a47 376b59a44a9b7fde 2021792912211cc8 cd8a55e63e6ab416 a1ce355c874ba851 831141431ca6022b ff14cbd8d906719a 4e2cb3c6fe0f1376 d6161215ffaba51b 0749b0eac68ddfa2 7cd161f77b76b004 1d3eb18e863c9dbf c367d367efd7e4bf fa0facc1035123dc 48fb9b26f3ab9085 4eab8b78558b6cb7 1a4ad9abea6976bf 27514aceb5aeb5b4 4ab5d95e3dbd0660 9b746cef1e3ebe28 c57e284d60a66f9b 866937840b197999 d88cf31055f8f2f9 e27b8a70862f28a9 d39a335d58289043 9e6898aa5a012ad4 d765d8511e57bd2d ba854086d29b49b8 e3f2e9efeb9d1b5a d1254ee38f8a30e6 f4bc1d7e5f5c5d38 af875b8598f2f28f 9972a497c9dcd441 506ac05aea4d3cfa 7cd8ce86b84060e7 074c80797c6a5be2 481e45bca54913b5 2184515dfec00a74 76e489f7f3e74e87 f71d402cb7c30fdc c33361da32aa551f 3de7695c42421afc c4ec8d4b1808ae6e 66d2f6f3fb967645 6d2239dd41746445 b1cf0726a906e3d8 eb692789f174c1b1 fd1001273e2f6a7b 1d0112e0a749a7fd
C87NmbDEECz55BdJ,d5481806b6e8dfde 985dc437fea08791 104da90f582eb10b d53ed1b5ee04124b 8d368cec78617ab7 772bdac5eb711ff6 58c8bb4cda560a90 47d69ab911f7e876 d93f9fd25c34020e 7c1fd27bf3023a09 9f69c8903ff81799 94c4ccd762aae19f a317a15b20ded8b5 1210ead0ad9cacdf a2fe5220900a341a 639d85039afd302d 102b9907088f7929 17d852af377fc179 3482673a7d6aceca 86de71c66dd2773e 325cb0e9cc186e77 0489ab346368fb43 60da3b17af6c67c6 503fa42b3135b07a 8e27e0145ab2d9ee 03d74f1e16c5cb36 312eb6d5e3c97fe5 5bee8aed3480d143 24f65a1ed155d3f6 c110cd29cc7b359f 933c563c0b97b294 e0f567b0b56f901d 7d3079ea89ea3327 deb926c50529931b 5afbf6db81762374 2fda907fd6c2e822 e10ac87f506d128c 129061ce491b9036 4f5b402688684e75 c91e07de79c2df3a ae71662e1cd76c33 42b32e2a4f2e1a0a 77b7b1e4713c0a38 776e60e861a7981b d1fb371538d02af5 010db753a547e8e0 32ff1802b79cf453 c143762ac93699b4 da78f72b2c2de7d8 41206f1973ec29eb
bTF8nFanljgh7MYg,12f8eb8fc5bcf830 5fe9106b02d139f8 2e07853eb7febd93 e1a509061db4365e ff0fa20dc2ab50f5 3b1daa74cc3b525b ffb293d728ad43a6 a2e5965b7fb44ba0 8673e52d7a10e87d a7805f280da53d7e 1ef0d3d4bf13d4e5 bc6fe8709b827527 1f9673dcc275ea7d 95d6e5ef0d0d0024 45751ba9f5ef2a7b f1a94922489fe1ae 33de3813f4dac961 adb24f7adbef70ff df4cc9d2729061ae 2c1f6965a83d1f00 070b67d8d87a7d16 1555a20631f724fe 495994dc327cbdd5 627ca4f7dc9fe638 7571cf8dc4ff09d8 6f9ecabf50905914 7e956132fdb6055d 2810abdbb2c052ae 88c1ca26292dbdff a524014ec1f47554 d7417a1af0d46e1a a37577e9aafbd972 09e9fea66d9b18ed 4382906f52eed217 6ae542fe72266c91 375fb68073264a28 daed2652d8d396d7 5e93a81c94d07a33 d4df758eb9a6847e cd7cfcb0053b9d73 693423527765f419 7275a35e554d3817 d8c5823d7834383e 928dbf509466ff54 250bac3e528156ec 69599b618b80afe7 3dce06464504db55 8fccb5f577dc8cc3 6bb722f1edcac85e c329ed775b745533
